Abbrev,Rxn_Name,Equation,Subsystem,Gene(s),References
FAS141ACPm,"fatty-acyl-ACP synthase (n-C14:1ACP), mitochondrial",[m] : ddcaACP + (4) h + malACP + (3) nadph + o2 --> ACP + co2 + (3) h2o + (3) nadp + tdeACP,Fatty Acid  Biosynthesis,"PAS_chr3_0631, PAS_chr3_1119, PAS_chr2-1_0856, PAS_chr2-1_0224, PAS_chr4_0311, PAS_chr4_0511",
FAS160,fatty acid synthase (n-C16:0),[c] : (3) h + malcoa + (2) nadph + ttdca --> co2 + coa + h2o + hdca + (2) nadp,Fatty Acid  Biosynthesis,"PAS_chr1-4_0674, PAS_chr1-4_0249, PAS_chr1-1_0008+PAS_chr1-4_0295",
FAS160ACPm,"fatty-acyl-ACP synthase (n-C16:0ACP), mitochondrial",[m] : (3) h + malACP + myrsACP + (2) nadph --> ACP + co2 + h2o + (2) nadp + palmACP,Fatty Acid  Biosynthesis,"PAS_chr3_0631, PAS_chr3_1119, PAS_chr2-1_0856, PAS_chr2-1_0224, PAS_chr4_0311, PAS_chr4_0511",
FAS160COA,fatty-acyl-CoA synthase (n-C16:0CoA),[c] : (3) h + malcoa + (2) nadph + tdcoa --> co2 + coa + h2o + (2) nadp + pmtcoa,Fatty Acid  Biosynthesis,"PAS_chr1-4_0674, PAS_chr1-4_0249, PAS_chr1-1_0008+PAS_chr1-4_0295",
FAS161,fatty acid synthase (n-C16:1),[c] : (4) h + malcoa + (3) nadph + o2 + ttdca --> co2 + coa + (3) h2o + hdcea + (3) nadp,Fatty Acid  Biosynthesis,PAS_chr3_0602,
FAS161ACPm,"fatty-acyl-ACP synthase (n-C16:1ACP), mitochondrial",[m] : (4) h + malACP + myrsACP + (3) nadph + o2 --> ACP + co2 + (3) h2o + hdeACP + (3) nadp,Fatty Acid  Biosynthesis,"PAS_chr3_0631, PAS_chr3_1119, PAS_chr2-1_0856, PAS_chr2-1_0224, PAS_chr4_0311, PAS_chr4_0511",
FAS180,fatty acid synthase (n-C18:0),[c] : (3) h + hdca + malcoa + (2) nadph --> co2 + coa + h2o + (2) nadp + ocdca,Fatty Acid  Biosynthesis,"PAS_chr1-4_0674, PAS_chr1-4_0249, PAS_chr1-1_0008+PAS_chr1-4_0295",
FAS180ACPm,"fatty-acyl-ACP synthase (n-C18:0ACP), mitochondrial",[m] : (3) h + malACP + (2) nadph + palmACP --> ACP + co2 + h2o + (2) nadp + ocdcaACP,Fatty Acid  Biosynthesis,"PAS_chr3_0631, PAS_chr3_1119, PAS_chr2-1_0856, PAS_chr2-1_0224, PAS_chr4_0311, PAS_chr4_0511",
FAS180COA,fatty-acyl-CoA synthase (n-C18:0CoA),[c] : (3) h + malcoa + (2) nadph + pmtcoa --> co2 + coa + h2o + (2) nadp + stcoa,Fatty Acid  Biosynthesis,"PAS_chr1-4_0674, PAS_chr1-4_0249, PAS_chr1-1_0008+PAS_chr1-4_0295",
FAS181,fatty acid synthase (n-C18:1),[c] : (4) h + hdca + malcoa + (3) nadph + o2 --> co2 + coa + (3) h2o + (3) nadp + ocdcea,Fatty Acid  Biosynthesis,PAS_chr3_0602,
FAS181ACPm,"fatty-acyl-ACP synthase (n-C18:1ACP), mitochondrial",[m] : (4) h + malACP + (3) nadph + o2 + palmACP --> ACP + co2 + (3) h2o + (3) nadp + octeACP,Fatty Acid  Biosynthesis,"PAS_chr3_0631, PAS_chr3_1119, PAS_chr2-1_0856, PAS_chr2-1_0224, PAS_chr4_0311, PAS_chr4_0511",
FAS182ACPm,"fatty-acyl-ACP synthase (n-C18:2ACP), mitochondrial",[m] : (5) h + malACP + (4) nadph + (2) o2 + palmACP --> ACP + co2 + (5) h2o + (4) nadp + ocdcyaACP,Fatty Acid  Biosynthesis,"PAS_chr3_0631, PAS_chr3_1119, PAS_chr2-1_0856, PAS_chr2-1_0224, PAS_chr4_0311, PAS_chr4_0511",
FAS240_L,"fatty acid synthase (n-C24:0), lumped reaction",[c] : (9) h + (3) malcoa + (6) nadph + ocdca --> (3) co2 + (3) coa + (3) h2o + (6) nadp + ttc,Fatty Acid  Biosynthesis,"PAS_chr3_0602, PAS_chr3_0236, PAS_chr4_0780",
FAS260,fatty acid synthase (n-C26:0),[c] : (3) h + malcoa + (2) nadph + ttc --> co2 + coa + h2o + hexc + (2) nadp,Fatty Acid  Biosynthesis,"PAS_chr3_0602, PAS_chr3_0236, PAS_chr4_0780",
FAS80_L,"fatty acid synthase (n-C8:0), lumped reaction",[c] : accoa + (8) h + (3) malcoa + (6) nadph --> (3) co2 + (4) coa + (2) h2o + (6) nadp + octa,Fatty Acid  Biosynthesis,"PAS_chr1-4_0674, PAS_chr1-4_0249, PAS_chr1-1_0008+PAS_chr1-4_0295",
FAS80ACPm_L,"fatty acyl-ACP synthase (n-C8:0ACP), mitochondrial, lumped reaction",[m] : acACP + (9) h + (3) malACP + (6) nadph --> (3) ACP + (3) co2 + (3) h2o + (6) nadp + ocACP,Fatty Acid  Biosynthesis,"PAS_chr3_0631, PAS_chr3_1119, PAS_chr2-1_0856, PAS_chr2-1_0224, PAS_chr4_0311, PAS_chr4_0511",
FAS80COA_L,"fatty acyl-CoA synthase (n-C8:0CoA), lumped reaction",[c] : accoa + (9) h + (3) malcoa + (6) nadph --> (3) co2 + (3) coa + (3) h2o + (6) nadp + occoa,Fatty Acid  Biosynthesis,"PAS_chr1-4_0674, PAS_chr1-4_0249, PAS_chr1-1_0008+PAS_chr1-4_0295",
FBA,fructose-bisphosphate aldolase,[c] : fdp <==> dhap + g3p,Glycolysis/Gluconeogenesis,PAS_chr1-1_0072,
FBA2,D-Fructose 1-phosphate D-glyceraldehyde-3-phosphate-lyase,[c] : f1p <==> dhap + glyald,Glycolysis/Gluconeogenesis,PAS_chr1-1_0072,
FBA3,"Sedoheptulose 1,7-bisphosphate D-glyceraldehyde-3-phosphate-lyase",[c] : s17bp <==> dhap + e4p,Glycolysis/Gluconeogenesis,PAS_chr1-1_0072,
FBP,fructose-bisphosphatase,[c] : fdp + h2o --> f6p + pi,Anaplerotic reactions,PAS_chr3_0868,
FBP26,"Fructose-2,6-bisphosphate 2-phosphatase",[c] : f26bp + h2o --> f6p + pi,Fructose and Mannose Metabolism,PAS_chr2-1_0110,
FCLTm,"Ferrochelatase, mitochondrial",[m] : fe2 + ppp9 --> (2) h + pheme,Porphyrin and Chlorophyll Metabolism,PAS_chr3_0264,
FDH,formate dehydrogenase,[c] : for + nad --> co2 + nadh,Methanol Metabolism,PAS_chr3_0932,"[6], [7]"
FE2t,iron (II) transport,fe2[e] --> fe2[c],"Transport, Extracellular",PAS_chr2-2_0009,
FE2utm,iron (II) uptake (mitochondrial),fe2[c] --> fe2[m],"Transport, Mitochondrial",NA,
FECOSTAT_PP,"Acyl-CoA:fecosterol acyltransferase, yeast-specific",[c] : fecost + (0.16654) pmtcoa + (0.05956) hdcoa + (0.03292) stcoa + (0.33054) odecoa + (0.41044) ocdycacoa --> coa + fecostest_PP,Sterol Metabolism,PAS_chr3_0467,
FECOSTESTH_PP,"fecosterol ester hydrolase, yeast-specific",[c] : fecostest_PP + h2o --> fecost + h + (0.16654) hdca + (0.05956) hdcea + (0.03292) ocdca + (0.33054) ocdcea + (0.41044) ocdcya,Sterol Metabolism,"PAS_chr3_0252, PAS_chr2-1_0409",
FECOSTESTH_PPe,"fecosterol ester hydrolase, yeast-specific (extracellular",[e] : fecostest_PP + h2o --> fecost + h + (0.16654) hdca + (0.05956) hdcea + (0.03292) ocdca + (0.33054) ocdcea + (0.41044) ocdcya,Sterol Metabolism,PAS_chr2-1_0409,
FECOSTt,fecosterol reversible transport,fecost[e] <==> fecost[c],"Transport, Extracellular",PAS_chr2-1_0280,
FEtm,iron (II) transport,fe2[m] --> fe2[c],"Transport, Mitochondrial",NA,
FKYNH,N-Formyl-L-kynurenine amidohydrolase,[c] : Lfmkynr + h2o --> Lkynr + for + h,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",PAS_chr3_1132,
FMETTRSm,"Methionyl-tRNA formyltransferase, mitochondrial",[m] : 10fthf + mettrna --> fmettrna + h + thf,tRNA charging,PAS_chr1-1_0212,
FMNAT,FMN adenylyltransferase,[c] : atp + fmn + h --> fad + ppi,Riboflavin Metabolism,PAS_chr1-3_0240,
FOLD3m,"dihydropteroate synthase, mitochondrial",[m] : 2ahhmd + 4abz --> dhpt + ppi,Folate Metabolism,PAS_chr2-2_0302,
FORt,formate transport via diffusion,for[e] <==> for[c],"Transport, Extracellular",NA,
FRDcm,"fumarate reductase, cytosolic/mitochondrial",fadh2[m] + fum[c] --> fad[m] + succ[c],"Transport, Mitochondrial",PAS_chr3_0225,
FRDm,fumarate reductase,[m] : fadh2 + fum --> fad + succ,Oxidative Phosphorylation,PAS_chr3_0225,
FRTT,farnesyltranstransferase,[c] : frdp + ipdp --> ggdp + ppi,Sterol Metabolism,PAS_chr3_1007,
FRUt2,D-fructose transport in via proton symport,fru[e] + h[e] --> fru[c] + h[c],"Transport, Extracellular",PAS_chr1-4_0570,
FTHFCL,5-formethyltetrahydrofolate cyclo-ligase,[c] : 5fthf + atp --> adp + methf + pi,Folate Metabolism,PAS_chr4_0247,
FTHFLi,formate-tetrahydrofolate ligase,[c] : atp + for + thf --> 10fthf + adp + pi,Folate Metabolism,PAS_chr1-4_0632,
FTHFLmi,"formate-tetrahydrofolate ligase, mitochondrial irreversible",[m] : atp + for + thf --> 10fthf + adp + pi,Folate Metabolism,PAS_chr1-4_0632,
FUM,fumarase,[c] : fum + h2o <==> mal-L,Oxidative Phosphorylation,PAS_chr3_0647,
FUMm,"fumarase, mitochondrial",[m] : fum + h2o <==> mal-L,Oxidative Phosphorylation,PAS_chr3_0647,
FUMt2r,fumarate reversible transport via symport,fum[e] + h[e] <==> fum[c] + h[c],"Transport, Extracellular",NA,
G12MT1g,"Glycolipid 1,2-alpha-D-mannosyltransferase, Golgi apparatus",[g] : gdpmann + m2macchitppdol --> gdp + h + m3macchitppdol,Glycoprotein Metabolism,"PAS_chr3_1162, PAS_chr2-2_0201, PAS_chr1-4_0050, PAS_chr2-2_0105",
G12MT2g,"Glycolipid 1,2-alpha-D-mannosyltransferase, Golgi apparatus",[g] : gdpmann + m3macchitppdol --> gdp + h + m4macchitppdol,Glycoprotein Metabolism,"PAS_chr3_1162, PAS_chr2-2_0201, PAS_chr1-4_0050, PAS_chr2-2_0105",
G3PCt,glycero-3-phosphocholine transport (extracellular to cytosol),g3pc[e] <==> g3pc[c],"Transport, Extracellular",PAS_chr3_0141,
G3PD1ir,glycerol-3-phosphate dehydrogenase (NAD),[c] : dhap + h + nadh --> glyc3p + nad,Glycerolipid Metabolism,PAS_chr2-2_0111,
G3PD1irm,"glycerol-3-phosphate dehydrogenase (NAD), mitochondrial",[m] : dhap + h + nadh --> glyc3p + nad,Glycerolipid Metabolism,PAS_chr2-2_0111,
G3PDm,"glycerol-3-phosphate dehydrogenase (FAD), mitochondrial",[m] : fad + glyc3p --> dhap + fadh2,Glycerolipid Metabolism,PAS_chr3_0579,
G3PIt,glycero-3-phospho-1-inositol transport (extracellular to cytosol),g3pi[e] <==> g3pi[c],"Transport, Extracellular",PAS_chr3_0141,
G3PT,glycerol-3-phosphatase,[c] : glyc3p + h2o --> glyc + pi,Glycerolipid Metabolism,PAS_chr2-1_0016,
G3Ptx,Glyceraldehyde 3-phosphate peroxisomal transport,g3p[x] <==> g3p[c],"Transport, Peroxisomal",NA,
G5SADr,"L-glutamate 5-semialdehyde dehydratase, reversible",[c] : glu5sa <==> 1pyr5c + h + h2o,Arginine and Proline Metabolism,NA,
G5SD,glutamate-5-semialdehyde dehydrogenase,[c] : glu5p + h + nadph --> glu5sa + nadp + pi,Arginine and Proline Metabolism,PAS_chr4_0665,
G5SD2,glutamate-5-semialdehyde dehydrogenase,[c] : glu5p + h + nadh --> glu5sa + nad + pi,Arginine and Proline Metabolism,PAS_chr4_0665,
G6PDH2,glucose 6-phosphate dehydrogenase,[c] : g6p + nadp --> 6pgl + h + nadph,Pentose Phosphate Pathway,PAS_chr2-1_0308,
G6PDH2er,"glucose 6-phosphate dehydrogenase, endoplasmic reticulum",[r] : g6p + nadp --> 6pgl + h + nadph,Pentose Phosphate Pathway,NA,
G6PI,Glucose-6-phosphate isomerase,[c] : g6p <==> g6p-B,Glycolysis/Gluconeogenesis,PAS_chr3_0456,
G6PI3,Glucose-6-phosphate isomerase,[c] : g6p-B <==> f6p,Glycolysis/Gluconeogenesis,PAS_chr3_0456,
G6Pter,glucose 6-phosphate endoplasmic reticular transport via diffusion,g6p[c] <==> g6p[r],"Transport, Endoplasmic Reticular",NA,
GALt2,D-galactose transport in via proton symport,gal[e] + h[e] --> gal[c] + h[c],"Transport, Extracellular","PAS_chr1-4_0570, PAS_chr1-1_0028",
GALU,UTP-glucose-1-phosphate uridylyltransferase,[c] : g1p + h + utp <==> ppi + udpg,Galactose metabolism,PAS_chr1-3_0122,
GAM6Pt,D-glucosamine 6-phosphate reversible uniport,gam6p[e] <==> gam6p[c],"Transport, Extracellular",NA,
GAPD,glyceraldehyde-3-phosphate dehydrogenase,[c] : g3p + nad + pi <==> 13dpg + h + nadh,Glycolysis/Gluconeogenesis,PAS_chr2-1_0437,
GARFTi,"phosphoribosylglycinamide formyltransferase, irreversible",[c] : 10fthf + gar --> fgam + h + thf,Purine and Pyrimidine Biosynthesis,PAS_chr2-1_0121,
GAT1_PP,"glycerol 3-phosphate acyltransferase (glycerol 3-phosphate), yeast-specific",[c] : glyc3p + (0.16654) pmtcoa + (0.05956) hdcoa + (0.03292) stcoa + (0.33054) odecoa + (0.41044) ocdycacoa --> 1ag3p_PP + coa,Phospholipid Biosynthesis,"PAS_chr1-3_0081, PAS_chr3_0073",
GAT2_PP,"glycerol 3-phosphate acyltransferase (glycerone phosphate), yeast-specific",[c] : dhap + (0.16654) pmtcoa + (0.05956) hdcoa + (0.03292) stcoa + (0.33054) odecoa + (0.41044) ocdycacoa --> 1agly3p_PP + coa,Phospholipid Biosynthesis,"PAS_chr1-3_0081, PAS_chr3_0073",
GCALDt,Glycoaldehydye reversible transport,gcald[e] <==> gcald[c],"Transport, Extracellular",NA,
GCALDtm,glycoaldehyde mitochondrial transport,gcald[c] <==> gcald[m],"Transport, Mitochondrial",NA,
GCC2am,"glycine-cleavage complex (lipoamide), mitochondrial",[m] : gly + h + lpam <==> alpam + co2,Glycine and Serine Metabolism,"PAS_FragB_0053, PAS_chr2-2_0048, PAS_chr2-2_0492, PAS_FragB_0009",
GCC2bim,"glycine-cleavage system (lipoamide) irreversible, mitochondrial",[m] : alpam + thf --> dhlam + mlthf + nh4,Glycine and Serine Metabolism,"PAS_FragB_0053, PAS_chr2-2_0048, PAS_chr2-2_0492, PAS_FragB_0009",
GCC2cm,"glycine-cleavage complex (lipoamide), mitochondrial",[m] : dhlam + nad <==> h + lpam + nadh,Glycine and Serine Metabolism,"PAS_FragB_0053, PAS_chr2-2_0048, PAS_chr2-2_0492, PAS_FragB_0009",
GCCam,"glycine-cleavage complex (lipoylprotein), mitochondrial",[m] : gly + h + lpro <==> alpro + co2,Glycine and Serine Metabolism,"PAS_FragB_0053, PAS_chr2-2_0048, PAS_chr2-2_0492, PAS_FragB_0009",
GCCbim,"glycine-cleavage complex (lipoylprotein) irreversible, mitochondrial",[m] : alpro + thf --> dhlpro + mlthf + nh4,Glycine and Serine Metabolism,"PAS_FragB_0053, PAS_chr2-2_0048, PAS_chr2-2_0492, PAS_FragB_0009",
GCCcm,"glycine-cleavage complex (lipoylprotein), mitochondrial",[m] : dhlpro + nad <==> h + lpro + nadh,Glycine and Serine Metabolism,"PAS_FragB_0053, PAS_chr2-2_0048, PAS_chr2-2_0492, PAS_FragB_0009",
GDPMANNtg,GDP-mannose antiport,gdpmann[c] + gmp[g] --> gdpmann[g] + gmp[c],"Transport, Golgi Apparatus",PAS_chr3_0916,
GF6PTA,glutamine-fructose-6-phosphate transaminase,[c] : f6p + gln-L --> gam6p + glu-L,Glutamine Metabolism,PAS_chr2-1_0626,
GGTT,geranylgeranyltranstransferase,[c] : ggdp + ipdp --> pendp + ppi,Quinone Biosynthesis,NA,
GHMT2r,"glycine hydroxymethyltransferase, reversible",[c] : ser-L + thf <==> gly + h2o + mlthf,Glycine and Serine Metabolism,PAS_chr4_0415,
GHMT2rm,"glycine hydroxymethyltransferase, reversible, mitochondrial",[m] : ser-L + thf <==> gly + h2o + mlthf,Glycine and Serine Metabolism,PAS_chr4_0587,
GK1,guanylate kinase (GMP:ATP),[c] : atp + gmp <==> adp + gdp,Purine and Pyrimidine Biosynthesis,PAS_chr2-2_0219,
GK2,guanylate kinase (GMP:dATP),[c] : datp + gmp <==> dadp + gdp,Purine and Pyrimidine Biosynthesis,PAS_chr2-2_0219,
GLCGSD,"glucan 1,4-alpha-glucosidase",[c] : glycogen + h2o --> glc-D,Alternate Carbon Metabolism,PAS_chr2-2_0437,
GLCGSDv,"glucan 1,4-alpha-glucosidase, vacuole",[v] : glycogen + h2o --> glc-D,Alternate Carbon Metabolism,PAS_chr4_0579,
GLCNtv,Glycogen vacuolar 'transport' via autophagy,glycogen[c] --> glycogen[v],"Transport, Vacuolar",NA,
GLCP,glycogen phosphorylase,[c] : glycogen + pi --> g1p,Alternate Carbon Metabolism,PAS_chr2-1_0173,
GLCS2,glycogen synthase (UDPGlc),[c] : udpg --> glycogen + h + udp,Alternate Carbon Metabolism,"PAS_chr4_0847, PAS_chr3_0781",
GLCt1,glucose transport (uniport),glc-D[e] --> glc-D[c],"Transport, Extracellular","PAS_chr1-4_0570, PAS_chr1-1_0028",
GLCtv,"glucose transport, vacuolar",glc-D[c] <==> glc-D[v],"Transport, Vacuolar",NA,
GLNS,glutamine synthetase,[c] : atp + glu-L + nh4 --> adp + gln-L + h + pi,Glutamine Metabolism,PAS_chr4_0785,
GLNt2r,L-glutamine reversible transport via proton symport,gln-L[e] + h[e] <==> gln-L[c] + h[c],"Transport, Extracellular","PAS_chr4_0287, PAS_chr1-4_0479, PAS_chr1-1_0203, PAS_chr1-1_0030",
GLNt6,L-glutamine transport in via proton antiport (vacuolar),gln-L[c] + h[v] --> gln-L[v] + h[c],"Transport, Vacuolar",PAS_chr3_0226,
GLNt7,"L-glutamine transport out via proton symport, vacuolar",gln-L[v] + h[v] --> gln-L[c] + h[c],"Transport, Vacuolar","PAS_chr3_0295, PAS_chr2-2_0343",
GLNTRS,Glutaminyl-tRNA synthetase,[c] : atp + gln-L + trnagln --> amp + glntrna + ppi,tRNA charging,PAS_chr3_0285,
GLPT,glycylpeptide N-tetradecanoyltransferase,[c] : glp + tdcoa --> coa + tglp,Other Amino Acid Metabolism,PAS_chr3_1025,
GLU5K,glutamate 5-kinase,[c] : atp + glu-L --> adp + glu5p,Arginine and Proline Metabolism,PAS_chr3_0294,
GLUCYS,gamma-glutamylcysteine synthetase,[c] : atp + cys-L + glu-L --> adp + glucys + h + pi,Other Amino Acid Metabolism,PAS_chr1-1_0184,
GLUDC,Glutamate Decarboxylase,[c] : glu-L + h --> 4abut + co2,Glutamate metabolism,PAS_chr3_0965,
GLUDxi,glutamate dehydrogenase (NAD),[c] : glu-L + h2o + nad --> akg + h + nadh + nh4,Glutamate metabolism,PAS_chr2-1_0311,
GLUDyi,glutamate dehydrogenase (NADP),[c] : akg + h + nadph + nh4 --> glu-L + h2o + nadp,Glutamate metabolism,PAS_chr1-1_0107,
GLUK,Glucokinase,[c] : atp + glc-D --> adp + g6p-B + h,Glycolysis/Gluconeogenesis,PAS_chr4_0624,
GLUPRT,glutamine phosphoribosyldiphosphate amidotransferase,[c] : gln-L + h2o + prpp --> glu-L + ppi + pram,Purine and Pyrimidine Biosynthesis,PAS_chr1-1_0430,
GLUSx,glutamate synthase (NADH2),[c] : akg + gln-L + h + nadh --> (2) glu-L + nad,Glutamate metabolism,PAS_chr3_1024,
GLUt2r,"L-glutamate transport via proton symport, reversible",glu-L[e] + h[e] <==> glu-L[c] + h[c],"Transport, Extracellular","PAS_chr4_0287, PAS_chr1-4_0479, PAS_chr1-4_0601, PAS_chr1-1_0030, PAS_chr1-1_0028",
GLUt5m,L-glutamate transport into mitochondria via hydroxide ion antiport,glu-L[c] + oh1[m] --> glu-L[m] + oh1[c],"Transport, Mitochondrial",NA,
GLUt7,"L-glutamate transport out via proton symport, vacuolar",glu-L[v] + h[v] --> glu-L[c] + h[c],"Transport, Vacuolar",PAS_chr2-2_0160,
GLUt7m,"Glutamate transport (uniporter), mitochondrial",glu-L[c] --> glu-L[m],"Transport, Mitochondrial",PAS_chr3_0434,
GLUTRS,Glutamyl-tRNA synthetase,[c] : atp + glu-L + trnaglu --> amp + glutrna + ppi,tRNA charging,PAS_chr1-4_0598,
GLUTRSm,"glutamyl-tRNA synthetase, mitochondrial",[m] : atp + glu-L + trnaglu --> amp + glutrna + ppi,tRNA charging,PAS_chr1-1_0241,
GLXt,glyoxylate transport,glx[c] <==> glx[e],"Transport, Extracellular",NA,
GLYC3Ptm,glycerol-3-phosphate shuttle,glyc3p[c] --> glyc3p[m],"Transport, Mitochondrial",NA,
GLYCDy,Glycerol dehydrogenase (NADP-dependent),[c] : glyc + nadp --> dha + h + nadph,Glycerolipid Metabolism,PAS_chr1-1_0360,
GLYCLm,"glycine cleavage system, mitochondrial",[m] : gly + nad + thf --> co2 + mlthf + nadh + nh4,Glycine and Serine Metabolism,"PAS_FragB_0053, PAS_chr2-2_0048, PAS_chr2-2_0492, PAS_FragB_0009",
GLYCt,glycerol transport via channel,glyc[c] <==> glyc[e],"Transport, Extracellular",PAS_chr4_0784,
GLYCt2,glycerol transport via symport,glyc[e] + h[e] --> glyc[c] + h[c],"Transport, Extracellular",PAS_chr1-1_0069,
GLYGS,glycogen (starch) synthase,[c] : h2o + udpg --> 14glun + h + udp,Alternate Carbon Metabolism,"PAS_chr4_0847, PAS_chr3_0781",
GLYK,glycerol kinase,[c] : atp + glyc --> adp + glyc3p + h,Glycerolipid Metabolism,PAS_chr4_0783,
GLYOX,hydroxyacylglutathione hydrolase,[c] : h2o + lgt-S --> gthrd + h + lac-D,Alternate Carbon Metabolism,PAS_chr3_0783,
GLYOXm,"hydroxyacylglutathione hydrolase, mitochondrial",[m] : h2o + lgt-S --> gthrd + h + lac-D,Alternate Carbon Metabolism,PAS_chr3_0783,
GLYt2m,glycine mitochondrial transport via proton symport,gly[c] + h[c] <==> gly[m] + h[m],"Transport, Mitochondrial",NA,
GLYt2r,glycine reversible transport via proton symport,gly[e] + h[e] <==> gly[c] + h[c],"Transport, Extracellular","PAS_chr4_0287, PAS_chr1-4_0479, PAS_chr2-1_0129, PAS_chr1-1_0030",
GLYTRS,Glycyl-tRNA synthetase,[c] : atp + gly + trnagly --> amp + glytrna + ppi,tRNA charging,PAS_chr3_0376,
GMPS2,GMP synthase,[c] : atp + gln-L + h2o + xmp --> amp + glu-L + gmp + (2) h + ppi,Purine and Pyrimidine Biosynthesis,PAS_chr1-3_0191,
GND,phosphogluconate dehydrogenase,[c] : 6pgc + nadp --> co2 + nadph + ru5p-D,Pentose Phosphate Pathway,PAS_chr3_0277,
GPDDA1,Glycerophosphodiester phosphodiesterase (Glycerophosphocholine),[c] : g3pc + h2o --> chol + glyc3p + h,Glycerolipid Metabolism,PAS_chr2-2_0314,
GRTT,geranyltranstransferase,[c] : grdp + ipdp --> frdp + ppi,Sterol Metabolism,PAS_chr1-4_0314,
GSNt2,guanosine transport in via proton symport,gsn[e] + h[e] --> gsn[c] + h[c],"Transport, Extracellular",NA,
GTHO,glutathione oxidoreductase,[c] : gthox + h + nadph --> (2) gthrd + nadp,Other Amino Acid Metabolism,"PAS_chr2-1_0060, PAS_chr4_0840, PAS_chr3_1011",
GTHOm,glutathione oxidoreductase,[m] : gthox + h + nadph --> (2) gthrd + nadp,Glutamate metabolism,"PAS_chr1-4_0207, PAS_chr3_1011",
GTHOXti,oxidized glutathione irreversible uniport,gthox[e] --> gthox[c],"Transport, Extracellular",NA,
GTHP,glutathione peridoxase,[c] : (2) gthrd + h2o2 <==> gthox + (2) h2o,Other Amino Acid Metabolism,"PAS_chr2-2_0382, PAS_chr4_0840",
GTHPm,"glutathione peroxidase, mitochondria",[m] : (2) gthrd + h2o2 <==> gthox + (2) h2o,Glutamate metabolism,PAS_chr1-4_0207,
GTHRDabcv,Reduced glutathione via ABC system (vacuolar),atp[v] + gthrd[c] + h2o[v] --> adp[v] + gthrd[v] + h[v] + pi[v],"Transport, Vacuolar",PAS_chr1-4_0619,
GTHRDt2,glutathione transport,gthrd[e] --> gthrd[c],"Transport, Extracellular",PAS_chr4_0005,
GTHS,glutathione synthetase,[c] : atp + glucys + gly --> adp + gthrd + h + pi,Other Amino Acid Metabolism,PAS_chr1-4_0496,
GTMLT,g-glutamyltransferase,[c] : ala-L + gthrd --> cgly + gluala,Other Amino Acid Metabolism,PAS_chr3_0561,
GTPCI,GTP cyclohydrolase I,[c] : gtp + h2o --> ahdt + for + h,Folate Metabolism,PAS_chr1-1_0062,
GTPCII,GTP cyclohydrolase II,[c] : gtp + (3) h2o --> 25dhpp + for + (2) h + ppi,Riboflavin Metabolism,PAS_chr2-1_0736,
GTPH1,GTP diphosphohydrolase,[c] : gtp + (2) h2o --> gmp + (2) h + (2) pi,Nucleotide Salvage Pathway,PAS_chr1-1_0063,
GTPt2m,"GTP/GDP translocase, mitochondrial (electroneutral)",gdp[m] + gtp[c] + h[c] --> gdp[c] + gtp[m] + h[m],"Transport, Mitochondrial",PAS_chr3_0255,
GUAD,guanine deaminase,[c] : gua + h + h2o --> nh4 + xan,Nucleotide Salvage Pathway,PAS_chr1-4_0524,
GUAPRT,guanine phosphoribosyltransferase,[c] : gua + prpp --> gmp + ppi,Nucleotide Salvage Pathway,PAS_chr3_0887,
GUAt2r,guanine reversible transport via proton symport,gua[e] + h[e] <==> gua[c] + h[c],"Transport, Extracellular","PAS_chr1-3_0153, PAS_chr4_0514",
H2Ot,H2O transport via diffusion,h2o[e] <==> h2o[c],"Transport, Extracellular",PAS_chr3_0763,
H2Oter,H2O endoplasmic reticulum transport,h2o[c] <==> h2o[r],"Transport, Endoplasmic Reticular",NA,
H2Otm,"H2O transport, mitochondrial",h2o[c] <==> h2o[m],"Transport, Mitochondrial",NA,
H2Otn,"H2O transport, nuclear",h2o[n] <==> h2o[c],"Transport, Nuclear",NA,
H2Otp,"H2O transport, peroxisomal",h2o[c] <==> h2o[x],"Transport, Peroxisomal",NA,
H2Otv,"H2O transport, vacuolar",h2o[c] <==> h2o[v],"Transport, Vacuolar",NA,
HACD10p,"3-hydroxyacyl-CoA dehydrogenase (3-oxohexacosyl-CoA), peroxisomal",[x] : 3hxccoa + nad <==> 3ohxccoa + h + nadh,Fatty Acid Degradation,PAS_chr2-1_0776,
HACD4p,"3-hydroxyacyl-CoA dehydrogenase (3-oxodecanoyl-CoA), peroxisomal",[x] : 3odcoa + h + nadh <==> 3hdcoa + nad,Fatty Acid Degradation,PAS_chr2-1_0776,
HACD5p,"3-hydroxyacyl-CoA dehydrogenase (3-oxodecanoyl-CoA), peroxisomal",[x] : 3oddcoa + h + nadh <==> 3hddcoa + nad,Fatty Acid Degradation,PAS_chr2-1_0776,
HACD6p,"3-Hydroxyacyl-CoA dehydrogenase (3-oxotetradecanoyl-CoA), peroxisomal",[x] : 3otdcoa + h + nadh <==> 3htdcoa + nad,Fatty Acid Degradation,PAS_chr2-1_0776,
HACD7p,"3-hydroxyacyl-CoA dehydrogenase (3-oxohexadecanoyl-CoA), peroxisomal",[x] : 3ohdcoa + h + nadh <==> 3hhdcoa + nad,Fatty Acid Degradation,PAS_chr2-1_0776,
